"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"210","","Kenneth Dixon","BAL","RB65","10","115","279","183.2","36.6","236.0","+26.0"
"211","","Quincy Enunwa","NYJ","WR77","11","101","276","187.4","41.5","252.0","+41.0"
"212","","New England (NE)","","DST11","11","105","306","189.9","25.3","186.0","-26.0"
"213","","Chris Ivory","BUF","RB66","11","119","278","187.1","33.3","232.0","+19.0"
"214","","Carolina (CAR)","","DST12","4","108","304","191.7","25.7","198.0","-16.0"
"215","","Pittsburgh (PIT)","","DST13","7","103","321","192.3","26.6","203.0","-12.0"
"216","","Donte Moncrief","JAC","WR78","9","81","307","191.3","46.9","239.0","+23.0"
"217","","Courtland Sutton","DEN","WR79","10","107","269","194.4","42.1","211.0","-6.0"
"218","","Mike Wallace","PHI","WR80","9","106","279","193.9","40.8","249.0","+31.0"
"219","","Jake Elliott","PHI","K6","9","104","550","203.0","55.3","197.0","-22.0"
"220","","James Washington","PIT","WR81","7","109","272","197.7","44.9","202.0","-18.0"
"221","","Matt Prater","DET","K7","6","109","328","197.9","30.2","224.0","+3.0"
"222","","Corey Coleman","BUF","WR82","11","103","261","191.7","39.8","258.0","+36.0"
"223","","Kansas City (KC)","","DST14","12","119","360","201.6","35.3","235.0","+12.0"
"224","","Adrian Peterson","WAS","RB67","4","95","317","202.4","67.2","183.0","-41.0"
"225","","Chicago (CHI)","","DST15","5","123","302","199.4","26.6","233.0","+8.0"
"226","","Kalen Ballage","MIA","RB68","11","99","469","207.8","71.0","231.0","+5.0"
"227","","Spencer Ware","KC","RB69","12","131","250","198.7","35.3","227.0","0.0"
"228","","Dan Bailey","DAL","K8","8","112","362","201.6","34.8","207.0","-21.0"
"229","","Jermaine Kearse","NYJ","WR83","11","95","276","204.9","41.3","241.0","+12.0"
"230","","Atlanta (ATL)","","DST16","8","127","356","202.7","30.5","275.0","+45.0"
"231","","Chris Boswell","PIT","K9","7","117","370","203.4","32.6","193.0","-38.0"
"232","","Albert Wilson","MIA","WR84","11","123","280","206.7","40.5","273.0","+41.0"
"233","","Wayne Gallman","NYG","RB70","9","120","336","207.4","46.0","312.0","+79.0"
"234","","Joe Flacco","BAL","QB29","10","102","280","206.4","32.3","246.0","+12.0"
"235","","Arizona (ARI)","","DST17","9","126","320","206.0","29.6","226.0","-9.0"
"236","","Corey Grant","JAC","RB71","9","53","282","216.4","55.7","302.0","+66.0"
"237","","Jeremy Hill","NE","RB72","11","79","514","227.1","76.8","225.0","-12.0"
"238","","Harrison Butker","KC","K10","12","118","371","205.2","32.6","200.0","-38.0"
"239","","Mason Crosby","GB","K11","7","121","367","207.2","32.8","213.0","-26.0"
"240","","Jake Butt","DEN","TE27","10","99","296","214.7","43.7","263.0","+23.0"
"241","","Luke Willson","DET","TE28","6","153","295","210.9","39.2","291.0","+50.0"
"242","","Dante Pettis","SF","WR85","11","110","371","214.4","50.6","256.0","+14.0"
"243","","Brandon Marshall","SEA","WR86","7","137","287","210.2","40.4","283.0","+40.0"
